2,Upper-division elective,Upper-division elective,CLST 197F (2 credits)
2022-23,Cognitive Science B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Psychology/Cognitive-Science-BS
Planner: Cognitive Science B.S. Planner 1
1,MATH 2,MATH 3,Calculus
1,PSYC 20,Programming,
1,,,
2,Interdisciplinary prerequisite,PSYC 2,PSYC 100
2,,Interdisciplinary prerequisite,
2,,,
3,Cognitive core,Cognitive core,Cognitive core
3,Interdisciplinary elective,Interdisciplinary elective (UD),Interdisciplinary elective
3,Cognitive elective,,
4,Interdisciplinary elective,Senior Seminar,Cognitive elective
Planner: Cognitive Science B.S. Planner 2
1,MATH 2,MATH 3,Calculus
1,PSYC 20,Programming,
1,,,
2,Interdisciplinary prerequisite,PSYC 2,PSYC 100
2,,Interdisciplinary prerequisite,Interdisciplinary prerequisite
2,,,
3,Cognitive core,Cognitive core,Cognitive core
3,Interdisciplinary prerequisite,Cognitive elective,
3,,,
4,Cognitive elective,Interdisciplinary elective (UD),Interdisciplinary elective
4,Senior Seminar,Interdisciplinary elective,
Planner: Cognitive Science B.S. Planner 3
3,PSYC 20,Cognitive core,Cognitive core
3,PSYC 100,Interdisciplinary elective,Interdisciplinary elective
3,,,
4,Cognitive elective,Cognitive core,Senior Seminar
2022-23,Community Studies B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Community-Studies/Community-Studies-BA
Planner: Community Studies B.A. Planner 1
1,CMMU 10,,,
1,,,,
1,,,,
2,Topical course 1,,Topical course 2,
2,,,,
2,,,,
3,Topical course 3,CMMU 101,CMMU 102,"CMMU 105
            (15 credits)"
3,,,DC REQ part 1,
3,,,,
4,"CMMU 105
            (15 credits)",CMMU 107,,
4,,DC REQ part 2,,
Planner: Community Studies B.A. Planner 2
3,CMMU 10,CMMU 101,CMMU 102,"CMMU 105
            (15 credits)"
3,Topical course 1,Topical course 2,DC REQ part 1,
3,,,Topical course 3,
4,"CMMU 105
            (15 credits)",CMMU 107,,
4,,DC REQ part 2,,
2022-23,Computer Engineering B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Computer-Science-and-Engineering/Computer-Engineering-BS
Planner: Computer Engineering B.S. Planner 1
1,MATH 19A,MATH 19B,AM 30
1,CSE 30,PHYS 5A & PHYS 5L,CSE 12
1,,,
2,AM 10,AM 20,CSE 120
2,PHYS 5C & PHYS 5N,CSE 13S,CSE 101
2,CSE 16,,PHYS 5B & PHYS 5M
3,ECE 101 & ECE 101L,CSE 107,CSE 185E
3,Concentration course,CSE 100 &. 100L,CSE 121
3,,,Concentration course
4,Concentration course,Capstone course,Capstone course
4,ECE 103 & ECE 103L,Concentration course,Concentration course
Planner: Computer Engineering B.S. Planner 2
1,MATH 3,MATH 19A,MATH 19B
1,CSE 20,CSE 12,CSE 30
1,,,
2,PHYS 5A & PHYS 5L,PHYS 5C & PHYS 5N,PHYS 5B & PHYS 5M
2,CSE 13S,CSE 16,AM 30
2,AM 10,AM 20,CSE 101
3,ECE 101 & ECE 101L,CSE 107,CSE 185E
3,CSE 120,CSE 100 & CSE 100L,ECE 103 & ECE 103L
3,,Concentration course,Concentration course
4,,,
4,CSE 121,Capstone course,Concentration course
Planner: Computer Engineering B.S. Planner 3
3,ECE 101 & ECE 101L,CSE 107,CSE 120
3,CSE 185E,CSE 100 & CSE 100L,CSE 121
3,CSE 12,CSE 101,Concentration course
4,,,
4,ECE 103 & ECE 103L,Capstone course,Capstone course
2022-23,Computer Science B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Computer-Science-and-Engineering/Computer-Science-BA
Planner: Computer Science B.A. Planner 1
1,CSE 30,CSE 12,CSE 16
1,MATH 19A,MATH 19B,
1,,,
2,CSE 13S,AM 10,CSE 101
2,,,
2,,,
3,Breadth course 1,Breadth course 2,Breadth course 3
3,Elective list 1,Elective list 2,
3,,,
4,DC elective,,"Elective list 3
            (capstone)"
4,,,
Planner: Computer Science B.A. Planner 2
1,CSE 20,CSE 30,CSE 12
1,MATH 3,MATH 19A,MATH 19B
1,,,
2,CSE 13S,AM 10,CSE 101
2,,CSE 16,
2,,,
3,Breadth course 1,Breadth course 2,Breadth course 3
3,Elective list 1,Elective list 2,
3,,,
4,DC elective,,"Elective list 3
            (capstone)"
4,,,
Planner: Computer Science B.A. Planner 3
1,CSE 12,CSE 101,Breadth list 1
1,AM 10 or MATH 21,,
2,Breadth list 2,Breadth list 3,DC elective
2,Elective list 1,Elective list 2,"Elective list 3
            (capstone)"
2022-23,Computer Science B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Computer-Science-and-Engineering/Computer-Science-BS
Planner: Computer Science B.S. Planner 1
1,CSE 30,CSE 12,CSE 16
