3rd (junior),CHEM 163A,CHEM 163B,CHEM elective,
3rd (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,,
3rd (junior),,,,
4th (senior),"CHEM elective or
CHEM 146A*",CHEM 164,"CHEM elective or
CHEM 146B/CHEM 146C*",
4th (senior),,,,
Sample Transfer Two-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),CHEM 163A,CHEM 163B,CHEM 110 & CHEM 110L,
1st (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,,
1st (junior),,,,
2nd (senior),CHEM elective 1,CHEM 164,CHEM elective 2,
2nd (senior),CHEM 146A*,,CHEM 146B or CHEM 146C*,
2023-24,Chemistry B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/chemistry-and-biochemistry/chemistry-bs
Sample Four-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 3C & CHEM 3CL
			(not required if CHEM 4 series completed)",
1st (frosh),"CHEM 3A or
CHEM 4A & CHEM 4AL","CHEM 3B & CHEM 3BL or
CHEM 4B & CHEM 4BL",MATH 21,
1st (frosh),College Core,WRIT 1 or WRIT 1E (if needed),,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L,
2nd (soph),PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M,
2nd (soph),WRIT 2**,,,
3rd (junior),CHEM 163A,CHEM 163B,CHEM 163C,
3rd (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,CHEM 103,
3rd (junior),,,,
4th(senior),CHEM 146A*,CHEM 164,CHEM elective 2,
4th(senior),CHEM elective 1,,CHEM 146B* or CHEM 146C*,
Sample Transfer Two-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),CHEM 163A,CHEM 163B,CHEM 163C,
1st (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,CHEM 110 & CHEM 110L,
1st (junior),,,,
1st (junior),,,,
2nd (senior),CHEM 146A*,CHEM 164,CHEM elective 2,
2nd (senior),CHEM elective 1,MATH 21,CHEM 103,
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional))
Entering,,,,
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,BIOL 20A,
1st (frosh),"CHEM 3A or
CHEM 4A & CHEM 4AL","CHEM 3B & CHEM 3BL or
CHEM 4B & CHEM 4BL","CHEM 3C & CHEM 3CL
            (not required if CHEM 4 series completed)",
1st (frosh),College 1,WRIT 1 or WRIT 1E (if needed)**,,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L,
2nd (soph),BIOE 20B,MATH 22,MATH 21,
2nd (soph),WRIT 2**,,,
3rd (junior),BIOC 100A,BIOC 100B,BIOC 100C,
3rd (junior),PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M,PHYS 6C & PHYS 6N,
3rd (junior),,,,
4th (senior)*,CHEM 163A,CHEM 163B,CHEM 163C,
4th (senior)*,,CHEM 151A & CHEM 151L,BIOC 110L*,
Sample Transfer Two-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),BIOC 100A,BIOC 100B,BIOC 100C,
1st (junior),,,CHEM 110 & CHEM 110L,
1st (junior),,,,
1st (junior),Fall,Winter,Spring,
